Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value
Texture,Clay content at 15 cm deep,"Albert, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,13.61827742
Texture,Clay content at 15 cm deep,"Carleton, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,14.51994772
Texture,Clay content at 15 cm deep,"Charlotte, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,11.52374915
Texture,Clay content at 15 cm deep,"Gloucester, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,14.36131931
Texture,Clay content at 15 cm deep,"Kent, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,14.28161778
Texture,Clay content at 15 cm deep,"Kings, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,13.85145738
Texture,Clay content at 15 cm deep,"Madawaska, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,18.28169096
Texture,Clay content at 15 cm deep,"Northumberland, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,13.5553897
Texture,Clay content at 15 cm deep,"Queens, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,13.86539378
Texture,Clay content at 15 cm deep,"Restigouche, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,16.97774396
Texture,Clay content at 15 cm deep,"Saint John, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,13.8305717
Texture,Clay content at 15 cm deep,"Sunbury, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,13.50245681
Texture,Clay content at 15 cm deep,"Victoria, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,16.1057352
Texture,Clay content at 15 cm deep,"Westmorland, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,14.6867274
Texture,Clay content at 15 cm deep,"York, New Brunswick",,mass percent,point in time,12/31/16,12/31/16,12.7047021
Texture,Clay content at 15 cm deep,"Division No. 1 - Avalon Peninsula-St. John's, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,13.87794194
Texture,Clay content at 15 cm deep,"Division No. 10 - Labrador-Happy Valley-Goose Bay, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,9.290425448
Texture,Clay content at 15 cm deep,"Division No. 11 - Nunatsiavut-Nain, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,9.681027849
Texture,Clay content at 15 cm deep,"Division No. 2 - Burin Peninsula-Marystown, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,13.73478325
Texture,Clay content at 15 cm deep,"Division No. 3 - South Coast-Channel-Port aux Basques, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,11.78889348
Texture,Clay content at 15 cm deep,"Division No. 4 - St. George's-Stephenville, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,11.92805726
Texture,Clay content at 15 cm deep,"Division No. 5 - Humber District-Corner Brook, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,10.01011334
Texture,Clay content at 15 cm deep,"Division No. 6 - Central Newfoundland-Grand Falls-Windsor, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,11.0329066
Texture,Clay content at 15 cm deep,"Division No. 7 - Bonavista/Trinity-Clarenville, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,12.09858458
Texture,Clay content at 15 cm deep,"Division No. 8 - Notre Dame Bay-Lewisporte, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,11.58614958
Texture,Clay content at 15 cm deep,"Division No. 9 - Northern Peninsula-St. Anthony, Newfoundland and Labrador",,mass percent,point in time,12/31/16,12/31/16,10.65470374
Texture,Clay content at 15 cm deep,"Fort Smith, Northwest Territories",,mass percent,point in time,12/31/16,12/31/16,18.01067472
Texture,Clay content at 15 cm deep,"Inuvik, Northwest Territories",,mass percent,point in time,12/31/16,12/31/16,18.97571827
Texture,Clay content at 15 cm deep,"Annapolis, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,12.62572562
Texture,Clay content at 15 cm deep,"Antigonish, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,14.67911041
Texture,Clay content at 15 cm deep,"Cape Breton, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,14.09452066
Texture,Clay content at 15 cm deep,"Colchester, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,14.13260096
Texture,Clay content at 15 cm deep,"Cumberland, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,13.23517892
Texture,Clay content at 15 cm deep,"Digby, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,12.17662163
Texture,Clay content at 15 cm deep,"Guysborough, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,13.9604923
Texture,Clay content at 15 cm deep,"Halifax, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,13.01162412
Texture,Clay content at 15 cm deep,"Hants, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,13.89859589
Texture,Clay content at 15 cm deep,"Inverness, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,13.53226641
Texture,Clay content at 15 cm deep,"Kings, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,13.28979273
Texture,Clay content at 15 cm deep,"Lunenburg, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,11.74566137
Texture,Clay content at 15 cm deep,"Pictou, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,14.63634693
