Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value
Texture,Sand content at the surface,"Lunenburg, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,48.73293714
Texture,Sand content at the surface,"Pictou, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,44.58019111
Texture,Sand content at the surface,"Queens, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,49.22615074
Texture,Sand content at the surface,"Richmond, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,49.06246246
Texture,Sand content at the surface,"Shelburne, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,53.22017628
Texture,Sand content at the surface,"Victoria, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,48.95982632
Texture,Sand content at the surface,"Yarmouth, Nova Scotia",,mass percent,point in time,12/31/16,12/31/16,49.94795055
Texture,Sand content at the surface,"Baffin, Nunavut",,mass percent,point in time,12/31/16,12/31/16,47.45128778
Texture,Sand content at the surface,"Keewatin, Nunavut",,mass percent,point in time,12/31/16,12/31/16,49.19443687
Texture,Sand content at the surface,"Kitikmeot, Nunavut",,mass percent,point in time,12/31/16,12/31/16,47.4150292
Texture,Sand content at the surface,"Algoma, Ontario",,mass percent,point in time,12/31/16,12/31/16,55.23143248
Texture,Sand content at the surface,"Brant, Ontario",,mass percent,point in time,12/31/16,12/31/16,44.23487089
Texture,Sand content at the surface,"Bruce, Ontario",,mass percent,point in time,12/31/16,12/31/16,46.04686624
Texture,Sand content at the surface,"Chatham-Kent, Ontario",,mass percent,point in time,12/31/16,12/31/16,39.71811723
Texture,Sand content at the surface,"Cochrane, Ontario",,mass percent,point in time,12/31/16,12/31/16,50.48644321
Texture,Sand content at the surface,"Dufferin, Ontario",,mass percent,point in time,12/31/16,12/31/16,39.71838791
Texture,Sand content at the surface,"Durham, Ontario",,mass percent,point in time,12/31/16,12/31/16,43.21696194
Texture,Sand content at the surface,"Elgin, Ontario",,mass percent,point in time,12/31/16,12/31/16,44.92910272
Texture,Sand content at the surface,"Essex, Ontario",,mass percent,point in time,12/31/16,12/31/16,38.21951073
Texture,Sand content at the surface,"Frontenac, Ontario",,mass percent,point in time,12/31/16,12/31/16,47.72297881
Texture,Sand content at the surface,"Greater Sudbury, Ontario",,mass percent,point in time,12/31/16,12/31/16,51.97347527
Texture,Sand content at the surface,"Grey, Ontario",,mass percent,point in time,12/31/16,12/31/16,43.86323708
Texture,Sand content at the surface,"Haldimand-Norfolk, Ontario",,mass percent,point in time,12/31/16,12/31/16,47.33106679
Texture,Sand content at the surface,"Haliburton, Ontario",,mass percent,point in time,12/31/16,12/31/16,52.77410108
